sys/id,sys/name,language,model_name,params/learning_rate,params/sample_ratio,params/random_seed,val_f1score,val_accuracy,test_f1score,test_accuracy
SEA-283,SEA-283,Arabic,multilingual_bert_Arabic,2e-05,16.0,2021.0,0.561131830467016,0.5664939550949913,0.5760935990769381,0.5794473229706391
SEA-282,SEA-282,Arabic,multilingual_bert_Arabic,2e-05,16.0,2020.0,0.3638329750504853,0.5630397236614854,0.3589638488030594,0.5474956822107081
SEA-281,SEA-281,Arabic,multilingual_bert_Arabic,2e-05,16.0,2019.0,0.3750728113757067,0.5647668393782384,0.3595260459575897,0.5449050086355786
SEA-280,SEA-280,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,0.304921968787515,0.4386873920552677,0.31153388822829964,0.4525043177892919
SEA-85,SEA-85,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,0.34810589072844567,0.3799654576856649,0.4005733853627459,0.4386873920552677
SEA-82,SEA-82,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-79,SEA-79,Arabic,multilingual_bert_Arabic,2e-05,32.0,2018.0,,,,
SEA-76,SEA-76,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-73,SEA-73,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-70,SEA-70,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-67,SEA-67,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-64,SEA-64,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-61,SEA-61,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,,,,
SEA-58,SEA-58,Arabic,multilingual_bert_Arabic,2e-05,16.0,2021.0,,,,
SEA-57,SEA-57,Arabic,multilingual_bert_Arabic,2e-05,16.0,2020.0,0.3638329750504853,0.5630397236614854,0.3589638488030594,0.5474956822107081
SEA-56,SEA-56,Arabic,multilingual_bert_Arabic,2e-05,16.0,2019.0,0.3750728113757067,0.5647668393782384,0.3595260459575897,0.5449050086355786
SEA-55,SEA-55,Arabic,multilingual_bert_Arabic,2e-05,16.0,2018.0,0.4367704280155642,0.4438687392055268,0.44087775964836334,0.44905008635578586
SEA-192,SEA-192,French,multilingual_bert_French,3e-05,128.0,2022.0,0.41346153846153844,0.7049180327868853,0.4148681055155875,0.7090163934426229
SEA-191,SEA-191,French,multilingual_bert_French,3e-05,128.0,2021.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-190,SEA-190,French,multilingual_bert_French,3e-05,128.0,2020.0,0.4765044479330193,0.6639344262295082,0.5339773576549395,0.7172131147540983
SEA-189,SEA-189,French,multilingual_bert_French,3e-05,128.0,2019.0,0.22784810126582278,0.29508196721311475,0.2253968253968254,0.29098360655737704
SEA-188,SEA-188,French,multilingual_bert_French,3e-05,128.0,2018.0,0.5540847574829596,0.6967213114754098,0.5234375,0.680327868852459
SEA-187,SEA-187,French,multilingual_bert_French,2e-05,128.0,2022.0,0.5771661569826707,0.5819672131147541,0.5523090770615523,0.5655737704918032
SEA-186,SEA-186,French,multilingual_bert_French,2e-05,128.0,2021.0,0.419047619047619,0.47540983606557374,0.44602683178534575,0.5040983606557377
SEA-185,SEA-185,French,multilingual_bert_French,2e-05,128.0,2020.0,0.5605844376486578,0.5655737704918032,0.537618437900128,0.5450819672131147
